EN-src,KIN-src,KIN-NLLB,BLEU,KIN-GPT
What time is it?,Ni gihe ki?,Isaha ni iyihe,0.201576753,Sa saa ngapi?
Where are the toilets?,Imisarani iri he?,Ubwiherero buri he,0.2140596392,Igiterane ni hehe?
"Help me, please.",Nyabuneka mfasha.,"Mfasha, nyamuneka. ",0.4454357881,"Mfasha, mwamutse."
I am American.,Ndi Umunyamerika.,Ndi umunyamerika.,0.7809325629,Ndi Umunyarwanda.
What do you call this?,Ibi byitwa iki mu Kinyarwanda?,Ibi ubyita iki,0.316501463,Mwita icyo gitekerezo?
What do you call these?,Biriya byitwa iki mu Kinyarwanda?,Ibi ubyita iki,0.224530027,Mwita icyo gitekerezo?
What does this mean?,Ibi bisobanura iki?,Ibi bivuze iki,0.3881724654,Icyo gituma ibintu bikomeza kibagirwa?
Is that correct?,Ibi ni ukuri?,Ese ibyo nibyo,3.03E-78,Ese ni cyangwa se?
Did I pronounce it well?,Nabivuze neza?,Nabivuze neza?,0.9310627797,Cyane cyane mbwira icyo?
Do you speak English?,Mbese uvuga icyongereza?,Uvuga icyongereza?,0.6879419394,Wavuga icyongereza?
I don't speak much Kinyarwanda.,Simvuga Kinyarwanda kinshi.,Ntabwo mvuga ikinyarwanda cyane.,0.4740596855,Ntavuga Kinyarwanda cyane.
Can you speak more slowly?,Wavuga witonze?,Urashobora kuvuga buhoro buhoro?,0.08333663409,"Wavuga bwite, mwamvuga hejuru?"
Can you repeat that?,Subiramo.,Urashobora gusubiramo ibyo?,0.08791854022,"Mwongereho, mwamvuga hejuru?"
"Please, write it down.",Wabinyandikira?,"Nyamuneka, wandike. ",0.2158937851,"Komeza, andike icyo mwamvuga hejuru."
Can you translate this for me?,Wabinsobanurira?,Urashobora kumpindura ibi,5.76E-155,Mwamfasha kwandika iyi yandikishwa?
I understand.,Ndasobanukiwe.,Ndabyumva.,3.46E-78,Ndagirango.
I don't understand.,Sinsobanukiwe.,Ntabwo mbyumva neza.,9.61E-232,Simbona ubivuga.
Do you understand?,Urasobanukiwe?,Urabyumva se,3.57E-78,Umvamo?
I want something to eat.,Ndashaka icyo kurya.,Ndashaka icyo kurya.,0.9512294245,Nkora akazi nkora gusa kwitwa kuryama.
I want something to drink.,Ndashaka icyo kunywa.,Ndashaka ikintu cyo kunywa.,0.6573468598,Nkora akazi nkora gusa kwitwa kuryama.
I'm tired.,Ndananiwe.,Ndarushye.,4.64E-78,Ndi hagati.
I'm lost.,Natakaye.,Ndatatanye.,5.84E-78,Ndi hasi.
I'm looking for ...,Ndi gushaka ...,Ndi gushaka ...,0.935506985,Ndagira icyo nabonye...
It is important.,"Ni ingenzi, ni ngombwa.",Ni ngombwa.,0.4249456196,Ni ngombwa.
It is urgent.,Birihutirwa.,Birakenewe byihutirwa.,0.3336554596,Ni yateganyijwe.
Hurry up!,Ihute.,Ihute!,0.7598356857,Teraheze!
Here is my passport.,Dore paseporo yanjye.,Hano hari pasiporo yanjye.,0.5090289233,Ni iyi pasiporo yanjye.
This is my passport.,Ngiyi paseporo yanjye.,Iyi ni pasiporo yanjye.,0.656161684,Iyi ni pasiporo yanjye.
I'll be staying a few days.,Nzamara iminsi mike hano.,Nzagumaho iminsi mike.,0.5564423671,Ndagira ntago ntasubira gutangira iminsi.
I'll be staying a few weeks.,Nzamara ibyumweru bike hano.,Nzagumaho ibyumweru bike.,0.6111299573,Ndagira ntago ntasubira gutangira imyaka.
I don't know yet.,Sindabimenya.,Ntago ndabimenya.,0.6059306249,Sinzi iyo nzagira.
I'm here on vacation.,Ndi hano ku mpamvu y'ibiruhuko.,Ndi hano mu biruhuko.,0.544805361,Ndagira hano kubakungu.
I'm here for business.,Nje muri afere.,Ndi hano kubucuruzi.,5.25E-155,Ndagira hano kubafatanye mu bizinesi.
I'm just passing through.,Ndi kwitemberera gusa.,Ndanyura gusa.,0.3501826208,Ndagira hano mbereyo gutangira.
"I'm sorry, I don't understand.","Nyabuneka, sinsobanukiwe.","Mumbabarire, simbyumva. ",0.149089608,"Ndasaba izuba, sinzi icyabivugwa."
I have nothing to declare.,Ntacyo mfite nerekana.,Ntacyo mfite cyo gutangaza.,0.4730881478,Ndi ntaregera kurandura.
I have ...,Mfite...,Mfite ...,0.6101950432,Ndi niko...
It is for personal use.,Ni icyo nkoresha kugiti cyanjye.,Ni ugukoresha wenyine.,0.303421151,Ni icyo nkoresha kugiti cyanjye.
It is a gift.,Iyo ni impano.,Ni impano.,0.5956403593,Iyo ni impano.
"Your passport, please.","Paseporo yawe, nyabuneka!","pasiporo yawe, nyamuneka. ",0.6744261198,"Paseporo yawe, nyabuneka!"
Do you have anything to,Hari ikintu ufite cyo,Waba ufite icyo ushaka,0.3523351925,Hari ikintu ufite cyo
declare?,kwerekana?,gutangaza ?,6.20E-155,kwerekana?
"Please, open this bag.",Fungura iyi valisi (or) iki gikapo.,"Nyamuneka, fungura iyi sakoshi. ",0.3391824705,Fungura iyi valisi (or) iki gikapo.
You will have to pay duty,Uratanga imisoro kuri,Uzagomba kwishyura umusoro,0.1619338697,Uratanga imisoro kuri
on this.,iki. (or kuri ibi).,kuri ibi.,0.3903594391,iki. (or kuri ibi).
Do you have more luggage?,Hari indi mitwaro ufite?,Ufite indi mizigo?,0.4165767637,Hari indi mitwaro ufite?
Porter!,Umwikorezi,Porter!,6.37E-155,Umwikorezi
