Bya heroine birenze urugero muri motel ihendutse,Of a heroin overdose in a cheap motel
Yapfuye atarashaje,He died before he got old
Paine yapfuye mu 1976 azize kunywa ibiyobyabwenge,Paine died in 1976 of a drug overdose
Uzi ibitangaza bitagira igihe,You know dateless wonders
Nahoraga nkunda flicks nini,I always preferred the big monster flicks
Nibwo yari akiri Emanuel Lipinsky,That was when he was still Emanuel Lipinsky
Natwe twari abafana ba Buddy Holly,We were big Buddy Holly fans too
Buri shuri ryagiraga Rubber,Every school had a Rubber Band
Nta kuntu umuntu,No way man
Ninjye bakubitaga,That was me they were beating up
Ndatekereza,Well I think
Cyangwa nakoraga metha,Or I was doing crystal meth
Yego twari duhari,Yeah we were there
Yewe natsinze ibyatsi,Oh and I scored the grass
Nakubiswe n'abapolisi,I got beat up by the cops
Icyo gihe bari bakiri inkoko gusa,They were still just chicks then
Twakoze indirimbo y'abahungu ba Liberty,We did the Sons of Liberty song
Kwibuka urabizi,Memory you know
Emanuel Lipinsky ntabwo ari izina rya babemagnet,Emanuel Lipinsky is not a babemagnet name
Kandi Tom yari rukuruzi,And Tom was a magnet
Umugabo Namusengaga gusa,Man I just worshipped her
Nari mfite mikorobe ya VW,I had the VW microbus
Biragaragara ko yasinze ingoma,A disheveled obviously drunk drummer
Ibindi biti bitatu bidakoraho bicara imbere ye,Three other untouched mugs sit before her
Yitegereza Paine yitonze,She watches Paine intently
Yanyeganyega cyane,It creaked a lot
Twashonje umuntu,We starved man
Nari 4F kuri acne,I was 4F for acne
Gusa kuri twe,Just doted on us
Nari nt nuts urabizi,I was nt nuts you know
Ariko yari mwiza cyane,But she was gorgeous
Inzira ya Robinson,Robinson sort of way
Ariko aradutera ubwoba,But she intimidates us
Kandi yabonye iyi nteruro yo hejuru yicyongereza,And she s got this upperclass English accent
Ntekereza ko Samuel Johnson yabivuze,I think Samuel Johnson said that
Nari nt byose byashimishijwe na Commonsense,I was nt all that impressed by Commonsense
Akunda gukundwa cyane,She like exuded sex appeal
Yasaga naho ari kera kuri njye,He seemed ancient to me
Agomba kuba afite imyaka mirongo ine cyangwa ikindi,He must have been forty or something
Ashaka kwicara,He wants to sit in
Yari nyirabuja,She was his mistress
Chips yerekana hamwe namabuye,Chips auditioning with the Stones
Bimwe bidasanzwe bidahuye mubyukuri,Some weird discrepant glitch in reality
Rod Serling hafi yo kuvuga,Rod Serling about to narrate
Ntaho byari bihuriye no kwerekeza ku mibonano mpuzabitsina,It had nothing to do with sexual orientation
Gutunganya umurongo umwe wubururu nka BB,Perfect single string blues like BB
Igitonyanga cyiza cyiza cyerekana Umujyi,Dropdead quality stringslamming Townsend
Ndetse no gukoraho Hendrix wawa,Even a touch of Hendrix wawa
Yari club nto,It was a small club
Rimwe na rimwe wasangaga ari porunogarafiya,At times it was almost pornographic
Nakubiswe cyane,I got beat up a lot
Aya magambo yanditseho ko ari Picadilly Slim,The caption identified him as Picadilly Slim
Nibisanzwe,It s Picadilly Slim
Ariko byasaga nabi nka we,But it looked awfully like him
Ntabwo arikose,It s that he s obsessed
Ugomba kunguriza kimwe cyawe,You must lend me one of yours
Nagize ishyari cyane nashoboraga gupfa,I was so jealous I could have died
Narihebye cyane,I was so depressed
Cyangwa narose ibyo,Or did I dream that
Bizaba nk'ijuru,It ll be like heaven
Ntabwo twongeye kugira urukundo,We never made love again
Paine s aryamye yambaye ubusa wenyine,Paine s lying there naked alone
Twabonye igitaramo ndavuga,We got a gig I say
Twari gon na be inyenyeri,We were gon na be stars
Sinzi impamvu bagiye,I do nt know why they left
Ntabwo bigeze basubiramo intsinzi yabo ya mbere,They simply never repeated their early success
Niyo mpamvu Gunsmoke yamaze imyaka makumyabiri,That s why Gunsmoke lasted twenty years
Nibyiza sawa ntabwo mubyukuri,Well okay not really
Ushyira Igiti mu Mutima Wanjye,You Put a Stake through My Heart
Byose ni shit,It s all shit
Bizaba alI shit,It s going to be alI shit
Batwaye ubushobozi bwanjye,They took my potential
Reba abadapfuye ca nt barema,See the un dead ca nt create
Ntabwo barota no guhanga udushya no kwifuza,They ca nt dream and innovate and aspire
Bashobora gufata gusa,They can only take
Bafashe rero inzozi zanjye no guhanga udushya,So they took my dreams and my innovation
Yego ndi mwiza,Yeah I m good
Ninkaho nahagaritse,It s like I m frozen
Reba kuruhande rwiza sawa,Look on the bright side okay
Baransetse gusa,They just laughed at me
Turasimbuye gusa baravuze,We only replace ourselves they said
Umwe muri twe isi agomba kubanza gupfa,One of us world have to die first
Bya p Johnny Goldberg Bari bahari,Of p Johnny Goldberg They were there
Yohereje inzira zimwe zo kuzizamura,He sends some roadies to bring them up
Umubiri utandukana nijosi,The body separates from the neck
Solo ikomeje kutitonda,The solo continues unmindful
Kandi avuza induru kugeza igihe izimye umukara,And screams until it fades to black
Gusa simbibona,I just do nt get it
Paine yarimo anywa kandi akoresha ibiyobyabwenge bikomeye,Paine was drinking and using hard drugs
Yarangije kuguma mu nzu yo munsi ya Shipp,He wound up staying in Shipp s basement
Oya yari umubumbyi,No she was a potter
Uzi ububumbyi,You know ceramics
Namuretse aguma,I let him stay
Ndakeka ko mbyumva nabi,I guess I feel bad about it
Kudakubita ijisho s undi muntu,Not blinking that s someone else
Usibye ko numva gusa ibya kera gusa,Except I only listen to classical now
Nibura Commonsense yari ifite iherezo ryiza,At least Commonsense had a good ending
Yapfuye itarasaza,It died before it got old
Yasa nkumugabo wururabyo,She looked just like Flower man
Nkuko yari afite nt ashaje kumunsi,Like she had nt aged a day
Leeford kuva umugore wanjye apfa,Leeford ever since my wife died
Edwin Urakoze Mr.,Edwin Thank you Mr
Yansabye ko namusura ako kanya,He has asked that I visit him immediately
Ndagenda mu gitondo,I leave in the morning
Edwin Nzabikora nyuma y'urugendo rwanjye,Edwin I will after my trip
Uracyashaka kurongora,Do you still want to marry me
Edwin Nibyo rwose,Edwin Of course I do
Ndagukunda Agnes,I love you Agnes
Nzagaruka vuba,I ll be back soon
Yihishe ibanga,He is hiding a secret
Edwin Yego nzakora iki,Edwin Oh what will I do
Edwin ashaka avoka kugirango akore ubushake,Edwin hires a lawyer to make a will
Edwin Kuki uri hano,Edwin Why are you here
Natekereje ko uri i Paris,I thought you were in Paris
Leeford aha Edwin ikinyobwa,Leeford hands Edwin a drink
Leeford Ibyo byari mbere yuko nyirarume apfa,Leeford That was before your uncle died
Naje kumugabane wanjye w'amafaranga,I came for my share of the money
Uzabibona iyo mpfuye,You ll get it when I die
Leeford Ndabizi,Leeford I know
Edwin Urasoma inyuguti zose,Edwin You read all the letters
Umugani wa 2 Edwin arangije kunywa,Narrator 2 Edwin finishes his drink
Edwin Ariko nkunda Agnes,Edwin But I love Agnes
Imiryango yacu yaduhatiye gushaka,Our families forced us to marry
Abihaye Imana Bite kuri njye Data,Monks What about me Father
Urankunda,Do you love me
Edwin nabanje kubikora,Edwin I did at first
Abavuga 1 Edwin atangira kuniga,Narrator 1 Edwin starts choking
Ntashobora guhumeka,He ca nt breathe
Leeford Oya waduhinduye,Leeford No you turned on us
Abavuga 2 Edwin yikubita hasi,Narrator 2 Edwin falls to the floor
Arwana akanya gato arapfa,He struggles for a moment and dies
Igice cya 3 Abavuga 1 Nyuma yiminsi Madamu,Scene 3 Narrator 1 Days later Mrs
Leeford na Monks basuye ibiro bya avoka Brownlow,Leeford and Monks visit Lawyer Brownlow s office
Twakora iki,What can we do
Bizakugana,It will go to you
Leeford na Monks bava mu biro,Leeford and Monks leave the office
Ugomba kwica Agnes,You have to kill Agnes
Abihaye Imana I ca nt babikora,Monks I ca nt do that
Leeford Yego urashobora,Leeford Yes you can
Abihayimana Ibyo byari inyamaswa ntabwo abantu,Monks Those were animals not people
Leeford Urashobora kubikora,Leeford You can do it
Abihayimana Ugomba kubimenya,Monks You should know
Igice cya 4 Abavuga 1 Mr.,Scene 4 Narrator 1 Mr
Fleming yinjiye mu nzu ye ababaye,Fleming enters his house upset
Byari ubwoko bw'indwara z'umutima,It was some kind of heart attack
Agnes Oya oya,Agnes Oh no
Fleming Nzi ko biteye ubwoba,Fleming I know it s terrible
Twese tuzakumbura Leeford,We will all miss Leeford
Twari tugiye kurushinga,We were going to be married
Kuki nt wambwiye?,Why did nt you tell me
Yoo ndumiwe,Oh I am ruined
Nyuma Abamonaki bazamuka mu idirishya ry'icyumba,Later Monks climbs through the bedroom window
Ifoto Nshobora kugira ibindi,Photograph May I have some more
Urashaka iki,What do you want
Abihayimana I m bogeyman,Monks I m the bogeyman
Umwanditsi 1 Roza arataka,Narrator 1 Rose screams
Roza Umugabo yinjiye mu idirishya,Rose A man came through the window
Yashakaga kwica njye na Agnes,He wanted to kill Agnes and me
Fleming Ari Agnes,Fleming Where is Agnes
Fleming Ni amakosa yanjye yose,Fleming It s all my fault
Tugomba kumushaka,We have to find her
Ntibigera bamubona,They never find her
Mann Numuhungu,Mann It s a boy
Agnes Reka mfate,Agnes Let me hold him
Mann Niki izina ryawe nshuti,Mann What s your name dear
Mann Izina ryawe ryanyuma,Mann What s your last name
Agnes Nta zina ryanyuma mfite,Agnes I have no last name
Agnes Nta se,Agnes There is no father
Mann Yapfuye,Mann She s dead
Tuzamwita Oliver Twist,We ll call him Oliver Twist
Abavuga 1 Umuntu wese yitegereza Oliver,Narrator 1 Everyone stares at Oliver
Yarenze rimwe mu mategeko akomeye,He has broken one of the biggest rules
Mann Wavuze iki,Mann What did you say
Oliver Ndacyashonje,Oliver I m still hungry
Reka ngire ibyo kurya,May I have some more food
Bumble Wowe impfubyi idashima,Bumble You ungrateful orphan
Oliver Yapfuye,Oliver She s dead
Yari mubi cyane,She was a bad one very bad
Oliver Ibyo ntabwo arukuri,Oliver That s not true
Ntuganire kuri mama gutya,Do nt talk about my mother that way
